NOR;CPP;DEF;DUD;PER;MAXIMO_DIAS_ATRASO_DDIRECTASBS.1;MAXIMO_DIAS_ATRASO_DDIRECTASBS.2;MAXIMO_DIAS_ATRASO_DDIRECTASBS.3;Documentos Impagos;Dias de atraso de PAGO;al_menos_uno_de_los_solicitantes_vive_en_la_garantia_;motivo_principal_del_prestamo;sector_detalle;sector;Distrito de Garantia
0;0;0;0;0;0;0;0;0;;VERDADERO;Expansión del Negocio;otros servicios: salud y estetica;no dependiente;catacaos
0;0;0;0;100;0;0;0;678.85;0;VERDADERO;Capital de trabajo;otros servicios: servicio tecnico industrial;no dependiente;independencia
0;100;0;0;0;15;16;15;0;1;FALSO;Expansión del Negocio;otros servicios: salon de belleza;no dependiente;castilla
0;0;0;0;0;0;0;0;0;;VERDADERO;Construir o remodelar;otros servicios: salon de belleza;no dependiente;santiago de surco
17.01;0;82.99;0;0;58;30;27;0;;VERDADERO;Expansión del Negocio;manufactura: madera y muebles;no dependiente;villa el salvador
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;comerciante: venta de alimentos mayorista;no dependiente;san miguel
0;0;0;0;100;0;0;0;17905.71;;VERDADERO;Compra de deuda;dependiente;dependiente;san martin de porres
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;manufactura: madera y muebles;no dependiente;la molina
52.44;0;0;0;47.56;0;0;0;50;;VERDADERO;Compra de deuda;otros servicios: entretenimiento;no dependiente;paucarpata
100;0;0;0;0;0;0;0;172.14;;FALSO;Compra de deuda;dependiente;dependiente;villa el salvador
87.74;12.26;0;0;0;16;0;0;2708.63;;VERDADERO;Compra de deuda;comerciante: venta de alimentos minorista;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: servicio de transporte de carga;no dependiente;pueblo libre
100;0;0;0;0;0;53;22;1272.6;;VERDADERO;Lanzar nuevo negocio;;dependiente;surquillo
100;0;0;0;0;0;0;0;0;;FALSO;Construir o remodelar;otros servicios: servicios de educacion y capacitacion;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: otros;no dependiente;cayma
100;0;0;0;0;0;0;0;0;;VERDADERO;Expansión del Negocio;agricultura (produccion agricola);no dependiente;miraflores
100;0;0;0;0;5;0;60;0;;VERDADERO;Compra de deuda;comerciante: venta de bebidas alcoholicas;no dependiente;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;construccion: construccion de vivienda;no dependiente;ate
100;0;0;0;0;0;0;0;0;;VERDADERO;Compra de deuda;otros servicios: salud y estetica;no dependiente;san miguel
76.26;23.74;0;0;0;26;0;0;621.13;;VERDADERO;Capital de trabajo;otros servicios: publicidad impresa;no dependiente;los olivos
0;0;0;0;0;0;0;0;12588.09;;;Capital de trabajo;comerciante: venta de articulos de belleza;no dependiente;cercado de lima
100;0;0;0;0;0;0;0;495;;VERDADERO;Compra de deuda;;dependiente;san juan de miraflores
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;manufactura: textil cuero y calzado;no dependiente;ate
100;0;0;0;0;0;0;0;0;;FALSO;Capital de trabajo;construccion: construccion de vivienda;no dependiente;santiago de surco
100;0;0;0;0;0;0;0;18;;VERDADERO;Construir o remodelar;agricultura (produccion agricola);no dependiente;san juan de lurigancho
0;0;0;2.55;97.45;0;0;0;0;;VERDADERO;Construir o remodelar;comerciante: bodega;no dependiente;san martin de porres
0;0;0;31.56;68.44;35;5;0;78.07;;VERDADERO;Lanzar nuevo negocio;otros servicios: servicio tecnico domestico;no dependiente;villa el salvador
0;0;0;74.84;25.16;0;137;106;235.91;2;VERDADERO;Construir o remodelar;construccion: construccion de vivienda;no dependiente;la molina
0;0;0;59.5;40.5;452;422;391;2363.71;;VERDADERO;Compra de deuda;otros servicios: servicio de transporte privado/taxi/remisse o mototaxi;no dependiente;ate
0;0;0;37.52;62.48;0;0;0;139.41;;VERDADERO;Capital de trabajo;;dependiente;comas
100;0;0;0;0;0;0;0;0;;FALSO;Compra de deuda;otros servicios: servicios de educacion y capacitacion;no dependiente;san martin de porres
0;0;100;0;0;0;0;0;66.6;;VERDADERO;Lanzar nuevo negocio;otros servicios: servicios de educacion y capacitacion;no dependiente;san martin de porres
0;0;0;100;0;81;53;22;0;;VERDADERO;Capital de trabajo;construccion: construccion de local(es) comercial(es);no dependiente;villa el salvador
100;0;0;0;0;0;0;0;414.75;;FALSO;Capital de trabajo;otros servicios: arrendamiento;;los olivos
100;0;0;0;0;0;0;0;0;;VERDADERO;Capital de trabajo;otros servicios: salud y estetica;no dependiente;los olivos
