PD;DeudaTotalSBSMicrof_M3max_rango;Documentos.Impagos_n_1_rango;MAXIMO_DIAS_ATRASO_DDIRECTASBS_M3max_rango;riesgos_al_menos_uno_de_los_solicitantes_vive_en_la_garantia__rango;ocupacion2;Grupo.Distritos;Calificación_1_rango;diasatraso_rango;riesgos_motivo_principal_del_prestamo_rango;SCORE 26;score final
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;d. 61 a más;b. Capital de trabajo;B;874
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;b. 1 hasta 60;d. Otros motivos personales;A;942
0;b. 10001 a más;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;790
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 3;c. Deficiente/Dudoso/Perdida;c. nuevo;b. Capital de trabajo;C;839
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;b. Capital de trabajo;A+;950
0;a. hasta 10000;b. tiene;a. 0 a 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;733
0;a. hasta 10000;a. no tiene;b. mas de 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;D;713
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;817
0;a. hasta 10000;b. tiene;b. mas de 15;a. NO;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;E;584
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;C;859
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;a. Normal;c. nuevo;c. Compra de deuda;A+;962
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;a. Construir o remodelar;C;854
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;a. hasta 10000;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;C;801
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;b. 1 hasta 60;c. Compra de deuda;A;943
0;b. 10001 a más;b. tiene;a. 0 a 15;b. SÍ;b. dependiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;901
0;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;a. Normal;c. nuevo;b. Capital de trabajo;B;915
1;b. 10001 a más;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;B;888
0;b. 10001 a más;a. no tiene;b. mas de 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;c. nuevo;c. Compra de deuda;C;799
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;b. Capital de trabajo;D;677
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;d. Otros motivos personales;C;792
0;a. hasta 10000;b. tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 2;b. Sin Calificación/CPP;d. 61 a más;b. Capital de trabajo;D;741
1;a. hasta 10000;b. tiene;b. mas de 15;a. NO;a. independiente;grupo 2;c. Deficiente/Dudoso/Perdida;d. 61 a más;a. Construir o remodelar;E;328
0;a. hasta 10000;a. no tiene;a. 0 a 15;b. SÍ;a. independiente;grupo 3;b. Sin Calificación/CPP;c. nuevo;b. Capital de trabajo;A;933
